subID,condition,Hz,frontal,central,parietal,occipital,ln_Hz,ln_frontal,ln_central,ln_parietal,ln_occipital
oa03,eo,29.91,0.70204,0.2523,0.53314,0.4051,3.398192873,-0.353764897,-1.377136423,-0.628971225,-0.903621329
oa04,ec,0.997,94.25358,76.305,91.34906,249.2950333,-0.003004509,4.54598881,4.334738467,4.514687993,5.518637068
oa04,ec,1.994,12.48366,10.34916667,9.62316,12.87013333,0.690142672,2.524420589,2.336906001,2.264172693,2.554909382
oa04,ec,2.991,3.6821,3.4176,2.79426,3.494833333,1.09560778,1.303483242,1.22893855,1.027567313,1.251285687
oa04,ec,3.988,1.99814,2.179866667,2.1561,2.4163,1.383289852,0.692216748,0.779263713,0.768301034,0.882237445
oa04,ec,4.985,1.72052,1.665733333,1.5067,1.6551,1.606433403,0.542626571,0.510265467,0.409921829,0.50386143
oa04,ec,5.982,1.43048,1.590166667,1.60772,1.5465,1.78875496,0.358010052,0.463838833,0.474817026,0.435994313
oa04,ec,6.979,1.782,2.354733333,2.75744,2.251933333,1.94290564,0.577736329,0.856427487,1.014302713,0.811789107
oa04,ec,7.976,2.8088,4.3108,5.9319,4.2238,2.076437033,1.032757346,1.461123502,1.780344566,1.440735197
oa04,ec,8.973,3.83454,5.036133333,6.47524,4.4757,2.194220068,1.34404948,1.616638592,1.867985673,1.498662764
oa04,ec,9.97,3.17342,3.858,4.95888,3.7903,2.299580584,1.154809871,1.350148914,1.601179909,1.332445172
oa04,ec,10.967,2.32552,3.226733333,4.36802,3.772166667,2.394890764,0.84394367,1.171470274,1.474309817,1.327649549
oa04,ec,11.964,2.06198,3.404833333,4.6994,4.1833,2.481902141,0.723666686,1.225195991,1.547434841,1.431100409
oa04,ec,12.961,1.83944,3.122133333,3.96948,3.7141,2.561944848,0.609461177,1.138516529,1.378635104,1.312136388
oa04,ec,13.958,1.75378,3.2977,4.08778,3.470133333,2.636052821,0.561773458,1.193225256,1.408002035,1.244193018
oa04,ec,14.955,1.71852,3.334933333,4.19472,3.337666667,2.705045692,0.541463455,1.204452689,1.433826592,1.20527196
oa04,ec,15.952,1.57102,3.082433333,3.23432,2.1738,2.769584213,0.45172509,1.125719328,1.173818705,0.776476788
oa04,ec,16.949,1.53382,2.4441,2.38596,1.728166667,2.830208835,0.427761356,0.893676957,0.869601559,0.547061116
oa04,ec,17.946,1.36684,2.196133333,1.73908,1.2743,2.887367249,0.312501506,0.786698238,0.553356238,0.242397008
oa04,ec,18.943,1.13306,1.6127,1.1856,0.937233333,2.94143447,0.124921937,0.477909793,0.170248976,-0.064823006
oa04,ec,19.94,0.85008,1.115966667,0.86932,0.8223,2.992727765,-0.162424816,0.109720995,-0.140043982,-0.195649987
oa04,ec,20.937,0.6536,0.8584,0.62202,0.5467,3.041517929,-0.425259735,-0.152685088,-0.474783032,-0.603855073
oa04,ec,21.934,0.45762,0.719866667,0.53626,0.468466667,3.088037944,-0.781716134,-0.328689269,-0.623136161,-0.758290329
oa04,ec,22.931,0.36432,0.5799,0.44578,0.3976,3.132489707,-1.009722677,-0.544899604,-0.807929722,-0.922308804
oa04,ec,23.928,0.32102,0.438233333,0.37756,0.374633333,3.175049321,-1.136251852,-0.825003786,-0.974025783,-0.981807509
oa04,ec,24.925,0.27032,0.352266667,0.29414,0.287666667,3.215871316,-1.308148837,-1.043366814,-1.223699435,-1.245952877
oa04,ec,25.922,0.21412,0.293966667,0.24958,0.255933333,3.255092029,-1.541218673,-1.224288897,-1.387975774,-1.362838285
oa04,ec,26.919,0.194,0.251066667,0.2161,0.199166667,3.292832357,-1.63989712,-1.382036771,-1.532014015,-1.613613284
oa04,ec,27.916,0.1891,0.2212,0.1913,0.1777,3.329200001,-1.665479303,-1.508688009,-1.653912403,-1.727658544
oa04,ec,28.913,0.16584,0.1911,0.17254,0.1834,3.364291321,-1.796731811,-1.654958428,-1.757126185,-1.696085719
oa04,ec,29.91,0.16486,0.2026,0.16312,0.1632,3.398192873,-1.80265865,-1.596521687,-1.813269153,-1.812778836
oa04,eo,0.997,37.821,47.35443333,52.40478,144.6556,-0.003004509,3.632864504,3.857660444,3.958997809,4.974355745
